date,title,duration,views,likes,comments
2022-12-20 19:59:30+00:00,We Hosted Our Own Golf Tournament! - The Breezy Invitational Presented by Corona Premier,482,198465,7106,432
2022-05-26 17:00:31+00:00,Can We Break Bogey Golf Using Only One Club?,951,381078,11918,853
2022-09-08 17:00:23+00:00,We Entered Our First Golf Tournament!,1588,572288,14356,1738
2022-09-15 17:00:19+00:00,Can We Win Our First Ever Golf Tournament?,1524,505258,18303,1907
2022-12-08 18:00:09+00:00,Can Fat Perez Beat us Using Thrift Store Golf Clubs? | Bob Does Sports,1023,454118,11862,1231
2022-04-14 17:00:06+00:00,ROASTING MY GOLF GAME | Chasing Par,743,171957,5389,699
2023-01-17 01:23:13+00:00,You simply do NOT question a Fat Perez read #bobdoessports #fatperez #shorts,30,162829,6296,55
2022-04-28 17:00:12+00:00,DID I MAKE MY FIRST EVER HOLE IN ONE?,742,252184,7060,681
2023-02-21 18:00:03+00:00,The Most Fun We've Ever Had on a Golf Course,619,289331,9594,1098
2023-01-22 03:33:13+00:00,TRUST THE CADDY! #bobdoessports #golf #shorts #shortsfeed,20,75866,2309,31
2021-11-26 18:00:31+00:00,We Played a Full Golf Hole With Only One Club!,482,258898,5482,228
2022-11-01 00:51:21+00:00,The Lip Out King has entered the chat #shortsfeed #shorts #bobdoessports,41,49263,1427,38
2023-02-02 18:00:31+00:00,Can We Finish 50 Tacos in Nine Holes of Golf?,2230,678780,24747,4720
2023-01-26 19:36:02+00:00,Our Long Awaited Match With Good Good | Part 2,1996,616203,32362,2942
2022-08-04 17:00:20+00:00,Our Hot Ones Challenge Turned DANGEROUS,1763,698784,24653,2183
2022-10-13 17:00:06+00:00,Our Match Play Series Is Back... With A MAJOR Twist!,1346,339596,11299,736
2022-12-12 01:02:49+00:00,"Another day, another shank #bobdoessports #shorts #shortsfeed",20,41859,935,10
2022-05-05 17:00:34+00:00,Our Long Awaited Match With Good Good,1337,838417,21794,1212
2022-10-12 21:51:06+00:00,Fat Perez from Deep! #bobdoessports #shorts,32,125486,5117,98
2022-12-19 16:20:26+00:00,The most positively negative man in golf... Joey Cold Cuts #bobdoessports #shorts #shortsfeed,23,127064,2176,9
2022-11-02 01:02:17+00:00,Cleaning clubs is important #bobdoessports #shortsfeed #shorts #brysondechambeau,29,63436,1425,27
2022-09-06 20:00:09+00:00,We Got All Access Passes at the Tour Championship!,551,227046,8456,398
2022-06-16 17:00:02+00:00,Can We Break Par at the Toughest Course We've Ever Played?,1376,632458,14470,1152
2022-10-27 00:15:26+00:00,Bobby Heckles in His Element #shorts #bobdoessports,49,75758,2603,23
2022-12-16 19:33:50+00:00,The Tour may never be the same #shorts #bobdoessports #shortsfeed,54,216205,5462,49
2023-01-21 03:03:12+00:00,Fat Perez had Keegan Bradley RATTLED #bobdoessports #shorts #fatperez,23,192011,4603,77
2022-11-23 23:40:28+00:00,Don't Wake Up the Sleeping Giant #shortsfeed #bobdoessports #shorts,33,105051,2931,36
2022-11-22 00:35:13+00:00,The Wheels are starting to fall off... #shortsfeed #shorts #bobdoessports,24,56703,1401,20
2023-01-13 22:40:39+00:00,The Hot Ones Challenge Will Have You Saying Some Wild Things #bobdoessports #shorts #shortsfeed,21,45816,1043,27
2022-12-22 18:00:13+00:00,The Bob Does Sports Christmas Special,1677,372063,14751,1562
2023-02-02 00:59:08+00:00,Guy has MOVES #fatperez #bobdoessports #shorts,23,104994,2992,43
2022-10-22 23:00:58+00:00,There’s no pressure quite like going up against Bob Does Sports #shorts #bobdoessports,22,100992,2517,22
2023-03-21 21:08:22+00:00,Like Clockwork #bobdoessports,19,53829,1314,35
2022-10-24 17:00:36+00:00,The Most Outrageous Scramble We've Ever Had!,1519,404127,15794,1674
2022-11-11 21:02:02+00:00,Not a time for emails Joey! | #shorts #bobdoessports #shortsfeed,24,75426,1788,39
2022-12-31 01:48:16+00:00,Bobby got hit with the Instagram block from Brooks Koepka??,27,92125,2012,30
2022-11-14 23:00:47+00:00,What's the correct pronunciation here? #shortsfeed #shorts #bobdoessports,24,87994,3448,152
2022-11-28 04:11:32+00:00,"Shoutout @GrantHorvatgolff, Cutsy slapped the sand! #shorts #shortsfeed #bobdoessports",17,88780,2354,20
2022-12-22 02:33:40+00:00,Bull in a China Shop #shorts #shortsfeed #bobdoessports,24,56612,1229,27
2022-06-23 17:00:35+00:00,Can We Break a Course Record With Good Good?,1510,500078,16215,967
2022-12-15 18:00:13+00:00,Our Epic Golf Match Came Down to the Wire! | Bob Does Sports,1962,436369,14755,1582
2022-11-10 01:17:22+00:00,Shooter McGavin in the house! #shortsfeed #shorts #bobdoessports,38,62065,2072,32
2022-10-24 01:57:55+00:00,The most important part of the round is the food order at the turn #shorts #bobdoessports,20,125858,3882,54
2022-04-07 17:00:06+00:00,Epic Blunder Ruined Our Match!,960,370756,11197,810
2022-11-08 00:20:56+00:00,The chip in heard round the world #bobdoessports #shortsfeed #shorts,44,107018,4111,62
2022-10-11 18:06:54+00:00,Who farted? #shorts,35,71861,2208,153
2022-11-24 18:00:15+00:00,Our Newest Drinking Game Led to Madness!,1742,675519,19946,2846
2022-11-19 21:16:01+00:00,The Highs and Lows of the One They Call Cold Cuts #shortsfeed #shorts #bobdoessports,45,61072,2947,93
2023-01-16 01:17:39+00:00,Just a real bad look for the brand here #bobdoessports #shortsfeed #shortsfeed #joeycoldcuts,35,95229,3264,76
2022-10-31 00:13:12+00:00,Joey Cold Cuts is truly an anomaly #bobdoessports #shorts,25,161464,4849,43
2022-10-30 01:03:55+00:00,The freshman 100 for Fat Perez #shorts #bobdoessports,16,139627,2771,27
2022-12-28 21:48:49+00:00,Who has the best smile on golf Youtube? #shorts #bobdoessports #shortsfeed,15,44046,730,16
2023-01-25 00:06:23+00:00,A nice bunker shot from Joey Da??? #bobdoessports #shorts #joeycoldcuts,21,63826,1451,26
2022-11-04 21:55:17+00:00,Max Homa cannot be stopped #shortsfeed #bobdoessports #shorts #golf,26,43845,1553,23
2023-02-13 19:53:15+00:00,An absolute DART from The Jet #bobdoessports #shorts,29,51183,1518,39
2022-12-04 23:47:02+00:00,Fairways simply have to be bigger to satisfy Joey Cold Cuts #bobdoessports #shorts #shortsfeed,27,55242,1258,34
2022-10-21 18:41:13+00:00,Fat Perez has WHEELS #shorts #bobdoessports,36,102167,2716,50
2022-12-18 23:37:14+00:00,ALWAYS stay hydrated #shorts #bobdoessports #shortsfeed,31,33726,1244,31
2022-10-19 19:59:17+00:00,No group is safe when Cold Cuts is in the fairway behind them #shorts #bobdoessports,40,266375,8989,105
2022-10-15 20:53:59+00:00,The boys have absolutely no idea what they are talking about #shorts #bobdoessports,23,88005,2356,158
2023-01-05 18:00:20+00:00,We Added a MAJOR Twist to this Match!,1986,427088,12912,1087
2023-01-17 18:00:13+00:00,The Wildest Challenge in Bob Does Sports History,653,293911,19577,1410
2022-11-21 01:28:36+00:00,So close...yet so far #shortsfeed #bobdoessports #shorts,18,49170,1084,25
2023-01-18 21:47:24+00:00,Simply unacceptable from Joey Da #bobdoessports #shorts #shortsfeed,22,167953,3667,43
2022-10-28 21:24:49+00:00,"Paint the picture, JJ Watt! #shorts #bobdoessports",42,35532,1349,15
2022-11-07 00:06:35+00:00,"The grunt adds 10 yards, it's proven science #shortsfeed #shorts #bobdoessports",26,67729,2217,36
2023-01-12 18:00:30+00:00,Our Back and Forth Rematch Got INTENSE,1945,405155,16061,1089
2023-02-27 20:14:01+00:00,That’s a baaaad man #fatperez #bobdoessports #shorts #shortsfeed #golf,20,106112,4050,86
2022-11-02 17:19:08+00:00,"Tomorrow Night at 7 PM EDT, Bob Does Sports vs Max Homa In the Greatest Match in YouTube History",59,56601,2307,85
2022-12-25 22:22:08+00:00,Merry Christmas from Bob Does Sports! #shorts #shortsfeed #bobdoessports,26,49614,1622,24
2022-11-23 00:17:01+00:00,We Were THIS Close to a Hole In One #shortsfeed #bobdoessports #shorts,34,80760,1898,27
2022-11-13 19:00:04+00:00,He's a 10 but can't hit a 3 footer.. #shorts #shortsfeed #bobdoessports #golf,38,102754,2324,31
2023-01-25 17:53:17+00:00,FOREEEEE #bobdoessports #shorts #shortsfeed,12,59114,856,19
2022-11-26 04:51:10+00:00,Every Once in a While... #shortsfeed #bobdoessports #shorts,21,88132,2486,42
2022-10-18 18:26:06+00:00,HOTTY TODDY #bobdoessports #shorts,21,58774,1454,31
2022-11-05 22:02:14+00:00,Fat Perez is a baaaaad man #shorts #shortsfeed #bobdoessports #fatperez,43,56887,2032,48
2022-10-14 20:18:03+00:00,There is no one quite like Joey Cold Cuts #shorts,19,77342,1425,25
2023-01-23 20:46:17+00:00,IT HIT THE BULKHEAD #shorts #bobdoessports,19,43210,890,38
2022-10-26 01:45:40+00:00,Bryson could not believe the amount of tees Fat Perez keeps in his pocket #shorts #bobdoessports,23,190650,4932,38
2022-11-27 01:48:17+00:00,Everybody needs to taste at least one Fat Perez meatball in their life #shortsfeed #bobdoessports,45,59801,1759,55
2022-04-21 17:00:27+00:00,Can 3 Average Golfers Beat a PGA Tour Pro?,1452,502943,12754,846
2023-03-27 16:53:22+00:00,At least he’s consistent… #bobdoessports,18,35889,828,35
2023-03-13 17:00:20+00:00,The Story of Fat Perez | Perez Vs Episode 1,764,226724,12132,1535
2023-01-10 17:49:53+00:00,Golf shot of the year! #bobdoessports #shortsfeed #shorts,16,39675,856,21
2022-12-13 03:03:30+00:00,"Nothing like a bowl of hot tortilla soup on a summer day in Dallas, Texas #bobdoessports #shorts",14,272058,4679,88
2022-11-29 03:08:23+00:00,The Water in Arizona is built different #shorts #shortsfeed #bobdoessports,22,66435,1403,23
2022-06-09 17:00:14+00:00,Our Rematch With Fat Perez Got INTENSE,1523,539546,15483,1235
2022-11-16 23:18:42+00:00,Just guys being dudes #shortsfeed #shorts #bobdoessports,24,68024,2041,55
2022-07-07 17:00:19+00:00,Can we Shoot the Lowest Score in Bob Does Sports History?,1435,439284,13418,1474
2022-09-13 18:00:35+00:00,Bob Does Sports Breezy Invitational 2022 #shorts #bobdoessports #golf,45,99962,3325,123
2022-11-12 19:00:15+00:00,The Boys Were Hunting Flag Sticks! #shorts #shortsfeed #bobdoessports #golf,40,61032,1669,54
2022-05-19 17:00:25+00:00,WILD 2v2 Mixed Match with Good Good,1269,527726,17319,885
2022-12-28 01:11:32+00:00,THIS close 👀 #bobdoessports #shorts #shortsfeed,37,46424,1242,30
2023-03-09 18:00:07+00:00,The Most Absurd Match We've Ever Had,2028,448284,16608,1526
2022-09-12 17:00:00+00:00,Can Bryson DeChambeau Beat Us LEFT HANDED?,1227,364080,9441,827
2023-01-12 02:44:44+00:00,Which is it? Comment below #bobdoessports #shorts #shortsfeed,20,368397,6394,203
2023-01-27 20:46:10+00:00,THIS close to the first hole in one on the channel #goodgood #bobdoessports #shorts,28,78627,2121,39
2022-06-02 17:00:24+00:00,The Funniest Challenge We've Ever Done,932,535410,17155,1349
2022-08-23 17:00:34+00:00,We Heckled Golfers at the FedEx Cup! (HILARIOUS REACTIONS),482,400776,11021,523
2023-01-02 00:44:23+00:00,Clutch gene confirmed #bobdoessports #shortsfeed #shorts,28,33959,788,12
2023-02-16 18:00:23+00:00,Our Latest Round of Golf Went Completely Off the Rails!,1535,404839,12607,1527
2022-07-28 17:00:07+00:00,Can Fat Perez Finally Take Down Bobby Fairways and Joey Cold Cuts?,1525,490930,14871,1607
2023-01-15 01:26:22+00:00,Make a birdie and let the world know! #bobdoessports #shorts #shortsfeed,18,56782,1493,20
2022-10-06 17:00:06+00:00,Can We Play the Perfect Round of Golf? | Bob Does Sports,1513,413341,12153,1169
2023-01-31 00:55:03+00:00,It was never the hot sauce #bobdoessports #shorts,55,56344,1201,13
2022-09-22 17:00:21+00:00,Our Craziest Match Yet Came Down to the Wire! | Bob Does Sports,1618,456882,12264,1439
