date,title,duration,views,likes,comments
2022-06-08 14:00:11+00:00,First Ever Outlaw Golf Challenge | Good Good,1889,615200,18865,1327
2022-03-16 04:33:56+00:00,Good Good 1v1 Bracket Elimination Golf Challenge With A Twist...,1238,499863,17874,990
2022-03-20 17:11:00+00:00,"Last Golfer To Make A Bogey Wins $1,000",1266,1561737,40287,1084
2022-03-27 18:15:11+00:00,2v2v2 Hole In One Golf Challenge | Good Good,732,437085,15842,460
2022-04-29 04:09:10+00:00,Who Wins The First Pursell Farms Classic?! | 3v3 18 Hole Scramble Part 3,2021,489276,17824,971
2022-05-26 22:02:42+00:00,The Wildest End To A Elimination Bracket Golf Challenge Yet! | Good Good,1618,585124,18963,851
2022-04-15 04:13:06+00:00,Good Good Ryder Cup Golf Challenge | Stumps Vs. Twigs,1706,691050,20680,1015
2022-03-25 02:22:43+00:00,First Ever Double Elimination KnockOut Golf Challenge | Good Good,2104,754302,21334,1210
2022-04-25 04:11:42+00:00,3v3 18 Hole Scramble | The Pursell Farms Classic | Part 1,2285,665068,16977,1192
2022-04-27 14:00:25+00:00,3v3 18 Hole Scramble | The Pursell Farms Classic | Part 2,2163,537456,16063,615
2022-04-01 00:35:10+00:00,Stroke Play Face-Off Golf Challenge Finale | Good Good,1670,546935,21291,1163
2022-10-14 13:00:16+00:00,Fastest To Play Golf Hole Wins | Good Good Cup,1247,789696,70861,3437
2022-09-14 00:18:37+00:00,Good Good Plays The World’s Best Par 3 Course | Good Good Cup,1180,1070519,29443,2400
2022-05-03 23:45:18+00:00,Our Greatest Bracket Elimination Golf Challenge Ever! | Good Good,1472,568145,18909,808
2022-07-22 01:00:00+00:00,1v1 Bracket Elimination Golf Challenge With A Twist??,1822,685303,19659,1158
2022-07-18 00:26:01+00:00,The Ultimate Outlaw Golf Challenge | Good Good,1902,761327,21541,1031
2022-07-08 01:05:06+00:00,Who Wins it All In The Battle Of Chicago!? | 2v2v2 Stroke Play,1678,580551,14820,973
2022-04-20 04:27:01+00:00,INSANE KnockOut Golf Challenge @ Pursell Farms! | Good Good,1447,529671,18207,1012
2022-06-01 05:17:52+00:00,The Return To The Hole In 1 Course | Good Good Intense 3v3 Scramble,1917,646445,19305,982
2023-01-03 17:00:26+00:00,Our Biggest Announcement Yet..,486,669425,28426,3535
2022-03-30 04:06:06+00:00,Stroke Play Face-Off Golf Challenge At Pursell Farms | Good Good,1913,548715,18034,1355
2022-05-30 01:13:14+00:00,3v3 Random Golf Club Challenge | The Wheel Of NOT Ideal,1510,693263,17886,744
2022-06-03 02:39:02+00:00,On Track For A Good Good Record...,1572,595937,17765,938
2022-11-18 17:45:57+00:00,Last Golfer To Make A Birdie Loses,1453,654131,19907,1127
2022-07-15 01:03:39+00:00,The Most Unpredictable Knock Out Golf Challenge,1813,845088,21201,1136
2022-04-06 14:00:34+00:00,The First Good Good Major | Final Round | Who Wins?!,3065,921221,27151,5926
2022-08-28 22:43:43+00:00,The UK 1v1 Bracket Elimination Challenge | Good Good,1778,920519,27474,1726
2022-05-18 14:16:44+00:00,We Played A Good Good Major With A Live Crowd | Par 3 Face-Off,2011,782810,27873,2345
2022-10-17 00:24:42+00:00,The Best Golf Of The Good Good Cup Yet,2142,859271,27807,2166
2022-10-03 02:33:33+00:00,The Start Of The Greatest Good Good Match Ever..,2059,939078,27616,1660
2022-06-18 23:40:33+00:00,We Played Golf With Random Household Items!,1998,814201,21759,1165
2023-01-18 03:42:13+00:00,Knockout Golf Challenge W/ Our New Good Good Athlete,1616,675685,18223,993
2022-03-23 04:22:08+00:00,2v2v2 Make It Take It Golf Challenge | Good Good,2264,1121960,25803,1298
2022-09-16 03:59:55+00:00,The Good Good Mini Major,2171,1068489,27851,2363
2022-08-04 14:00:08+00:00,Good Good & Rick Shiels Play a Knockout Golf Challenge,2797,2070433,51963,3867
2022-07-06 03:13:34+00:00,The Battle Of Chicago | 2v2v2 Stroke Play | Part 2,2145,580570,14459,1085
2022-04-18 02:21:34+00:00,2v2v2 Random Golf Club Challenge | The Wheel Of NOT Ideal,1895,1047172,38711,854
2022-06-29 02:49:57+00:00,The Infected Golf Challenge | Feat. A Tour Pro,2273,806838,21316,908
2023-02-17 03:01:18+00:00,CRAZY Dubai KnockOut Golf Challenge | Good Good,1825,545107,22487,1704
2022-11-30 04:55:32+00:00,You'll Never See A Bracket Challenge Like This Again...,1877,601825,16522,1742
2022-05-23 01:28:45+00:00,Our Biggest KnockOut Golf Challenge Ever!,1625,499384,17530,799
2022-09-07 04:08:46+00:00,We're Starting A Month Long Golf Tournament | The Good Good Cup,2458,985349,45209,3067
2023-02-11 15:57:52+00:00,We Flew Around The World To Play In This Pro-Am,2350,664233,19640,1458
2022-09-12 01:33:26+00:00,This Isn't A Normal Good Good Golf Challenge...,1936,895444,36706,3542
2022-04-04 14:00:20+00:00,The First Good Good Major | Round 1,3338,1675146,35371,2085
2022-04-13 03:45:08+00:00,EPIC 4v4 Scramble @ Pursell Farms | Good Good,2479,546069,13994,993
2022-10-12 00:45:13+00:00,The Good Good Cup Rough Is Lava Golf Challenge,1874,854024,22000,1341
2023-03-01 23:30:15+00:00,The Good Good Dubai Major | Round 2,2221,587268,14474,2437
2022-06-23 14:00:36+00:00,Lightning Knockout Golf Challenge W/ Our First Sponsored Pro Golfer | Good Good,3376,1282971,31629,2043
2022-09-19 18:55:49+00:00,The Good Good Cup Lightning Knockout Golf Challenge,3233,1114355,31046,3466
2022-04-18 02:21:34+00:00,2v2v2 Random Golf Club Challenge | The Wheel Of NOT Ideal,1895,1047172,38711,854
2023-03-13 22:31:16+00:00,This Was Unfortunate..,2488,394291,25844,1335
2022-11-18 17:45:57+00:00,Last Golfer To Make A Birdie Loses,1453,654131,19907,1127
2022-10-17 00:24:42+00:00,The Best Golf Of The Good Good Cup Yet,2142,859271,27807,2166
2022-10-03 02:33:33+00:00,The Start Of The Greatest Good Good Match Ever..,2059,939078,27616,1660
2022-08-04 14:00:08+00:00,Good Good & Rick Shiels Play a Knockout Golf Challenge,2797,2070433,51963,3867
2022-08-21 14:00:21+00:00,We Played A 4v3 Scramble W/ A Live Crowd In The UK,1802,993418,50574,2900
2022-10-12 00:45:13+00:00,The Good Good Cup Rough Is Lava Golf Challenge,1874,854024,22000,1341
2023-01-18 03:42:13+00:00,Knockout Golf Challenge W/ Our New Good Good Athlete,1616,675685,18223,993
2022-09-30 00:21:24+00:00,Random Golf Club Challenge | Good Good Cup Wheel Of Not Ideal,2279,1028234,27319,1951
2023-02-11 15:57:52+00:00,We Flew Around The World To Play In This Pro-Am,2350,664234,19640,1458
2022-06-13 14:26:49+00:00,We Entered A 2 Man Scramble Tournament | The Good Good Movie,6927,3294222,65967,4149
2023-02-06 04:17:17+00:00,Good Good Double Elimination KnockOut Golf Challenge!,1825,556026,24477,1377
2023-03-01 23:30:15+00:00,The Good Good Dubai Major | Round 2,2221,587268,14474,2437
2023-02-17 03:01:18+00:00,CRAZY Dubai KnockOut Golf Challenge | Good Good,1825,545107,22487,1704
2023-03-11 23:30:05+00:00,The Ending Of This Match Was Unbelievable…,2848,495618,14399,1380
2023-02-14 02:49:51+00:00,We Won A Pro-Am In Dubai | Good Good,2129,686753,21238,1766
