date,title,duration,views,likes,comments
2022-06-20 23:43:23+00:00,We Did Not Expect This To Happen,1562,377697,10361,388
2022-05-29 01:11:03+00:00,An Adventure Of a Golf Match,1013,219248,7099,576
2022-06-03 14:49:25+00:00,Can We Shoot THE PERFECT Round Of Golf?,1106,300810,9635,441
2022-07-06 17:24:36+00:00,1v1v1 Stroke Play | GM GOLF,1396,371730,14200,707
2023-01-18 00:25:52+00:00,First Round Of Golf With My NEW Clubs,1576,510577,15882,1760
2022-10-25 20:36:43+00:00,The Tin Cup Golf Challenge,1424,318535,10322,379
2022-07-17 20:08:48+00:00,Can We Win The ACC Celebrity Pro Am!? | GM GOLF,1142,621770,14605,735
2023-03-26 14:38:48+00:00,We Did NOT Expect The Match To Go This Way… Garrett VS Kwon #5,1489,198454,7332,1421
2022-07-15 23:55:00+00:00,We Played In The ACC Celebrity Pro Am! | GM GOLF,1393,705148,15822,790
2022-10-08 16:21:09+00:00,GM GOLF | Random Golf Club Challenge At Pinehurst,1310,375086,10331,419
2022-04-26 22:29:50+00:00,We Challenged Two Former D1 Golfers To An 18 Hole Match,1598,343350,9545,883
2022-06-05 01:42:30+00:00,The Most Unpredictable Match In GM GOLF History,1497,328660,9782,426
2023-01-06 20:58:59+00:00,This Golf Challenge is BRUTAL,1473,328655,9211,433
2022-06-15 04:22:09+00:00,We Played A 4 Man Scramble In a Tropical Storm | GM GOLF,1594,610472,15986,1137
2022-05-19 05:21:34+00:00,Scratch Golfer Gives 12 Handicap Golfer 5 Strokes In 9 Holes… Who Wins?!,1503,387508,10084,438
2022-10-26 22:47:44+00:00,Last To Make a Bogey Wins,1756,434471,14706,1605
2022-03-20 02:54:24+00:00,We Entered Into a 4 Man Shamble Golf Tournament,1506,448534,14294,356
2022-04-28 21:32:45+00:00,This Is The First Time This Has Ever Happened In GM Golf History!! | 18 Hole 2v2 Part 2,1457,268598,6272,854
2022-06-25 19:24:19+00:00,Nice.,1711,385070,10458,845
2022-08-07 21:28:14+00:00,This Golf Match Lasted 4 Days…,1650,443964,13247,949
2022-07-30 20:32:24+00:00,We Played a US Open Golf Course… What Can We Shoot?,1983,628003,16211,1592
2023-03-05 20:54:51+00:00,What's Next...,515,291670,9192,760
